"gID","number","vh","team","clock","action","text","vscore","hscore","url","timestamp"
"08_23_~1",36,"H","BSU","00:00","SUB","BSU substitution: COOK, Peighton for RALPH, Chelcy.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",37,"H","BSU","00:00","SUB","BSU substitution: ALSOP, Grace for KEAN, Shelby.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",38,"H","BSU","00:00","SUB","BSU substitution: ELVBO, Julia for COMO, Claudia.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",39,"H","BSU","00:00","SUB","BSU substitution: JOHNSON, Kerrigan for Hawkins-Dabney, Tati.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",43,"H","BSU","45:32","GOAL","GOAL by BSU ALSOP, Grace, Assist by MASON, Tatiana, goal number 2 for season.",0,3,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",45,"H","BSU","50:01","CORNER","Corner kick by BSU [50:01].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",46,"H","BSU","50:31","SHOT","Shot by BSU COOK, Peighton WIDE.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",47,"H","BSU","54:13","GOAL","GOAL by BSU ELVBO, Julia, Assist by ZISWILER, Yela, goal number 1 for season.",0,4,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",50,"H","BSU","57:54","CORNER","Corner kick by BSU [57:54].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",51,"H","BSU","59:08","SHOT","Shot by BSU ALSOP, Grace BLOCKED.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",55,"H","BSU","62:47","SHOT","Shot by BSU MASON, Tatiana, SAVE Teteak, Sara.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",56,"H","BSU","63:01","CORNER","Corner kick by BSU [63:01].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",57,"H","BSU","64:51","SHOT","Shot by BSU MASON, Tatiana WIDE.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",58,"H","BSU","65:30","SUB","BSU substitution: MUSICK, Sam for KAMBOL, Sam.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",59,"H","BSU","65:30","SUB","BSU substitution: DICEMAN, Melissa for MASON, Tatiana.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",60,"H","BSU","65:30","SUB","BSU substitution: Hawkins-Dabney, Tati for COOK, Peighton.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",61,"H","BSU","68:02","CORNER","Corner kick by BSU [68:02].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",62,"H","BSU","68:33","GOAL","GOAL by BSU ALSOP, Grace, Assist by SMITH, Lexy and JOHNSON, Kerrigan, goal number 3 for season.",0,5,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",63,"H","BSU","70:41","SUB","BSU substitution: COMO, Claudia for ALSOP, Grace.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",64,"H","BSU","70:41","SUB","BSU substitution: RABANALES, Andrea for ELVBO, Julia.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",65,"H","BSU","70:41","SUB","BSU substitution: POTTS, Nicky for CORCORAN, Sammi.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",68,"H","BSU","73:37","SUB","BSU substitution: PHILIBIN, Lizzie for JOHNSON, Kerrigan.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",69,"H","BSU","73:37","SUB","BSU substitution: TORRES, Tiffani for ZISWILER, Yela.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",70,"H","BSU","73:48","CORNER","Corner kick by BSU [73:48].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",71,"H","BSU","74:03","SHOT","Shot by BSU SIMMONS, Emily WIDE.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",72,"H","BSU","75:26","FOUL","Foul on Ball State DICEMAN, Melissa [75:26].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",78,"H","BSU","79:17","SUB","BSU substitution: RALPH, Chelcy for MUSICK, Sam.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",79,"H","BSU","80:29","GOAL","GOAL by BSU Hawkins-Dabney, Tati, goal number 1 for season.",0,6,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",80,"H","BSU","81:31","OFFSIDE","Offside against Ball State.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",82,"H","BSU","84:37","FOUL","Foul on Ball State PHILIBIN, Lizzie [84:37].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",83,"H","BSU","85:25","SHOT","Shot by BSU RALPH, Chelcy, SAVE Teteak, Sara.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",84,"H","BSU","85:36","SHOT","Shot by BSU Hawkins-Dabney, Tati WIDE.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",86,"H","BSU","86:19","OFFSIDE","Offside against Ball State.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_23_~1",87,"H","BSU","89:28","SHOT","Shot by BSU DICEMAN, Melissa, SAVE Teteak, Sara.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017020426-08_23_EIU.XML",NA
"08_29_~1",2,"H","BSU","00:00","GOALIE","STUTEVILLE, Tristin at goalie for Ball State.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",3,"H","BSU","02:22","CORNER","Corner kick by BSU [02:22].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",6,"H","BSU","07:42","SHOT","Shot by BSU MASON, Tatiana WIDE.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",7,"H","BSU","09:24","OFFSIDE","Offside against Ball State.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",8,"H","BSU","10:06","CORNER","Corner kick by BSU [10:06].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",9,"H","BSU","10:37","SHOT","Shot by BSU KAMBOL, Sam BLOCKED.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",10,"H","BSU","10:53","FOUL","Foul on Ball State CORCORAN, Sammi [10:53].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",11,"H","BSU","13:41","FOUL","Foul on Ball State SIMMONS, Emily [13:41].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",14,"H","BSU","20:13","SUB","BSU substitution: PHILIBIN, Lizzie for COOK, Peighton.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",15,"H","BSU","21:20","CORNER","Corner kick by BSU [21:20].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",20,"H","BSU","27:27","SHOT","Shot by BSU KAMBOL, Sam WIDE.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",21,"H","BSU","27:53","SUB","BSU substitution: COMO, Claudia for ALSOP, Grace.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",26,"H","BSU","35:13","SUB","BSU substitution: MUSICK, Sam for ELVBO, Julia.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",27,"H","BSU","35:13","SUB","BSU substitution: Hawkins-Dabney, Tati for MASON, Tatiana.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",31,"H","BSU","38:40","CORNER","Corner kick by BSU [38:40].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",32,"H","BSU","39:30","SUB","BSU substitution: DICEMAN, Melissa for PHILIBIN, Lizzie.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",33,"H","BSU","39:30","SUB","BSU substitution: POTTS, Nicky for KAMBOL, Sam.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",35,"H","BSU","40:00","FOUL","Foul on Ball State Hawkins-Dabney, Tati [40:00].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",36,"H","BSU","40:24","SHOT","Shot by BSU JOHNSON, Kerrigan WIDE.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",37,"H","BSU","42:36","SHOT","Shot by BSU Hawkins-Dabney, Tati WIDE.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",38,"H","BSU","44:51","CORNER","Corner kick by BSU [44:51].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",40,"H","BSU","00:00","SUB","BSU substitution: PHILIBIN, Lizzie for DICEMAN, Melissa.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",41,"H","BSU","00:00","SUB","BSU substitution: KAMBOL, Sam for MUSICK, Sam.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",42,"H","BSU","00:00","SUB","BSU substitution: ELVBO, Julia for POTTS, Nicky.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",43,"H","BSU","00:00","SUB","BSU substitution: ALSOP, Grace for COMO, Claudia.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",44,"H","BSU","00:00","SUB","BSU substitution: MASON, Tatiana for Hawkins-Dabney, Tati.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",52,"H","BSU","48:15","FOUL","Foul on Ball State MASON, Tatiana [48:15].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",53,"H","BSU","49:23","FOUL","Foul on Ball State SIMMONS, Emily [49:23].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",56,"H","BSU","55:49","SUB","BSU substitution: SEYING, Kyrie for SMITH, Lexy.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",59,"H","BSU","58:29","SUB","BSU substitution: COMO, Claudia for ALSOP, Grace.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",60,"H","BSU","59:27","CORNER","Corner kick by BSU [59:27].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",66,"H","BSU","63:36","SUB","BSU substitution: Hawkins-Dabney, Tati for PHILIBIN, Lizzie.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",67,"H","BSU","64:12","SHOT","Shot by BSU KAMBOL, Sam, SAVE Smith, Haley.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",68,"H","BSU","64:39","CORNER","Corner kick by BSU [64:39].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",69,"H","BSU","65:09","CORNER","Corner kick by BSU [65:09].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",70,"H","BSU","65:43","FOUL","Foul on Ball State MASON, Tatiana [65:43].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",74,"H","BSU","69:21","SUB","BSU substitution: MUSICK, Sam for KAMBOL, Sam.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",75,"H","BSU","70:37","OFFSIDE","Offside against Ball State.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",77,"H","BSU","72:08","SHOT","Shot by BSU MUSICK, Sam, SAVE Smith, Haley.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",78,"H","BSU","74:06","OFFSIDE","Offside against Ball State.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",79,"H","BSU","74:45","SUB","BSU substitution: POTTS, Nicky for ELVBO, Julia.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",82,"H","BSU","75:09","CORNER","Corner kick by BSU [75:09].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",83,"H","BSU","78:23","SHOT","Shot by BSU Hawkins-Dabney, Tati, SAVE Smith, Haley.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",85,"H","BSU","82:11","SHOT","Shot by BSU MASON, Tatiana, SAVE Smith, Haley.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",86,"H","BSU","83:59","GOAL","GOAL by BSU Hawkins-Dabney, Tati (FIRST GOAL), Assist by COMO, Claudia, goal number 2 for season.",0,1,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",87,"H","BSU","83:59","SUB","BSU substitution: ELVBO, Julia for MUSICK, Sam.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",88,"H","BSU","83:59","SUB","BSU substitution: KAMBOL, Sam for POTTS, Nicky.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",90,"H","BSU","84:03","SUB","BSU substitution: PHILIBIN, Lizzie for Hawkins-Dabney, Tati.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",91,"H","BSU","84:55","FOUL","Foul on Ball State CORCORAN, Sammi [84:55].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",94,"H","BSU","86:11","SUB","BSU substitution: ALSOP, Grace for MASON, Tatiana.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08_29_~1",95,"H","BSU","87:48","FOUL","Foul on Ball State PHILIBIN, Lizzie [87:48].",NA,NA,"http://sidearm.sites.s3.amazonaws.com/bsu.sidearmsports.com/stats/soc/2019/20191017022106-08_29_~1.xml",NA
"08-30-19",2,"H","NIU","00:00","GOALIE","LENTZ, Julia at goalie for Northern Illinois.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/niuhuskies.com/stats/wsoc/2019/20190830101914-08-30-19.XML",NA
"08-30-19",9,"H","NIU","06:42","OFFSIDE","Offside against Northern Illinois.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/niuhuskies.com/stats/wsoc/2019/20190830101914-08-30-19.XML",NA
"08-30-19",11,"H","NIU","08:09","SUB","NIU substitution: AVERY, Sarah for NESLUND, Lauren.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/niuhuskies.com/stats/wsoc/2019/20190830101914-08-30-19.XML",NA
"08-30-19",12,"H","NIU","14:56","SUB","NIU substitution: KAUFMANN, Madison for LEWEY, Jenna.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/niuhuskies.com/stats/wsoc/2019/20190830101914-08-30-19.XML",NA
"08-30-19",18,"H","NIU","21:46","SHOT","Shot by NIU CHOPE, Kelsey, SAVE Lee, Mackenzie.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/niuhuskies.com/stats/wsoc/2019/20190830101914-08-30-19.XML",NA
"08-30-19",19,"H","NIU","22:08","SUB","NIU substitution: KROUPA, Hannah for BARHAM, Nicole.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/niuhuskies.com/stats/wsoc/2019/20190830101914-08-30-19.XML",NA
"08-30-19",24,"H","NIU","25:53","OFFSIDE","Offside against Northern Illinois.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/niuhuskies.com/stats/wsoc/2019/20190830101914-08-30-19.XML",NA
"08-30-19",25,"H","NIU","26:56","SUB","NIU substitution: SABO, Isabella for NAILOR, Jennie.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/niuhuskies.com/stats/wsoc/2019/20190830101914-08-30-19.XML",NA
"08-30-19",31,"H","NIU","30:06","SHOT","Shot by NIU DOMINGUEZ, Kyleigh, SAVE Lee, Mackenzie.",NA,NA,"http://sidearm.sites.s3.amazonaws.com/niuhuskies.com/stats/wsoc/2019/20190830101914-08-30-19.XML",NA
